time,x,y,yaw_deg,vel_lin,vel_ang
0.5883,-1e-06,1e-06,-0.0007,0.0,-0.0
0.6522,-1e-06,1e-06,-0.0007,0.0,-0.0
0.6909,-1e-06,1e-06,-0.0007,0.0,-0.0
0.7409,-1e-06,1e-06,-0.0007,0.0,-0.0
0.7899,-1e-06,2e-06,-0.0009,-6e-06,-6.5e-05
0.839,-1e-06,2e-06,-0.0009,0.0,-0.0
0.8874,-1e-06,2e-06,-0.0009,0.0,-0.0
0.9385,-1e-06,2e-06,-0.0009,0.0,-0.0
0.9855,-1e-06,2e-06,-0.0009,0.0,-0.0
1.0367,-1e-06,2e-06,-0.0009,0.0,-0.0
1.0865,-1e-06,2e-06,-0.0009,0.0,-0.0
1.1409,-1e-06,2e-06,-0.0009,0.0,-0.0
1.1925,-1e-06,2e-06,-0.0009,0.0,-0.0
1.2377,-1e-06,2e-06,-0.0009,0.0,-0.0
1.2875,-1e-06,2e-06,-0.0009,0.0,-0.0
1.3365,-1e-06,2e-06,-0.0009,0.0,-0.0
1.3869,-1e-06,2e-06,-0.0009,0.0,-0.0
1.4369,-1e-06,2e-06,-0.0009,0.0,-0.0
1.4876,-2e-06,2e-06,-0.001,-4e-06,-4.4e-05
1.5415,-2e-06,2e-06,-0.001,0.0,0.0
1.5906,-2e-06,2e-06,-0.001,-0.0,-5e-06
1.64,-2e-06,2e-06,-0.001,-0.0,-4e-06
1.6862,-2e-06,2e-06,-0.001,0.0,0.0
1.743,-2e-06,2e-06,-0.0011,-0.0,-5e-06
1.786,-2e-06,2e-06,-0.0011,-1e-06,-1.1e-05
1.8351,-2e-06,2e-06,-0.0011,0.0,0.0
1.8851,-2e-06,2e-06,-0.0011,-0.0,-5e-06
1.9411,-2e-06,2e-06,-0.0011,0.0,0.0
1.9971,-2e-06,2e-06,-0.0011,-0.0,-5e-06
2.0389,-2e-06,2e-06,-0.0011,-0.0,-6e-06
2.086,-2e-06,2e-06,-0.0011,0.0,0.0
2.135,-2e-06,2e-06,-0.0011,-0.0,-5e-06
2.1856,-2e-06,2e-06,-0.0011,-0.0,-6e-06
2.2353,-2e-06,2e-06,-0.0012,-0.0,-6e-06
2.2859,-2e-06,2e-06,-0.0012,0.0,-1e-06
2.3417,-2e-06,2e-06,-0.0012,-1e-06,-9e-06
2.3905,-2e-06,2e-06,-0.0012,-0.0,-4e-06
2.4412,-2e-06,2e-06,-0.0012,0.0,-1e-06
2.4847,-2e-06,2e-06,-0.0012,-0.0,-5e-06
2.5356,-2e-06,2e-06,-0.0012,-0.0,-6e-06
2.5869,-2e-06,2e-06,-0.0012,-0.0,-5e-06
2.6349,-2e-06,2e-06,-0.0012,0.0,-0.0
2.6846,-2e-06,2e-06,-0.0012,-0.0,-5e-06
2.7405,-2e-06,2e-06,-0.0012,0.0,0.0
2.8366,-2e-06,2e-06,-0.0013,-0.0,-5e-06
2.8378,-2e-06,2e-06,-0.0013,-0.0,-4e-06
2.8874,-2e-06,2e-06,-0.0013,0.0,0.0
2.9353,-2e-06,2e-06,-0.0013,-0.0,-3e-06
2.9851,-2e-06,2e-06,-0.0013,-0.0,-4e-06
3.0371,-2e-06,2e-06,-0.0013,-1e-06,-6e-06
3.0956,-2e-06,2e-06,-0.0013,0.0,1e-06
3.1446,-2e-06,2e-06,-0.0013,-0.0,-4e-06
3.1956,-2e-06,2e-06,-0.0013,-0.0,-4e-06
3.2526,-2e-06,2e-06,-0.0013,0.0,1e-06
3.2961,-2e-06,2e-06,-0.0013,0.0,0.0
3.3383,-2e-06,3e-06,-0.0016,-7e-06,-7.8e-05
3.385,-2e-06,3e-06,-0.0016,0.0,0.0
3.4355,1e-06,-1e-06,0.0006,8.5e-05,0.00099
3.4851,1e-06,-1e-06,0.0006,0.0,-0.0
3.5359,1e-06,-1e-06,0.0006,0.0,-0.0
3.5897,4e-06,-5e-06,0.0027,6.2e-05,0.000715
3.6474,4e-06,-5e-06,0.0027,0.0,-0.0
3.6864,4e-06,-5e-06,0.0027,0.0,-0.0
3.7349,4e-06,-5e-06,0.0027,0.0,-0.0
3.7853,4e-06,-5e-06,0.0027,0.0,-0.0
3.8356,4e-06,-5e-06,0.0027,0.0,-0.0
3.8847,4e-06,-5e-06,0.0027,0.0,-0.0
3.9398,4e-06,-5e-06,0.0027,0.0,-0.0
3.9895,4e-06,-5e-06,0.0027,0.0,-0.0
4.0427,4e-06,-5e-06,0.0027,0.0,-0.0
4.0857,4e-06,-5e-06,0.0027,0.0,-0.0
4.137,4e-06,-5e-06,0.0027,0.0,-0.0
4.1848,4e-06,-5e-06,0.0027,0.0,-0.0
4.2352,4e-06,-5e-06,0.0027,0.0,-0.0
4.2864,4e-06,-5e-06,0.0027,0.0,-0.0
4.3398,4e-06,-5e-06,0.0027,0.0,-0.0
4.3909,4e-06,-5e-06,0.0027,0.0,-0.0
4.4392,4e-06,-5e-06,0.0027,0.0,-0.0
4.4874,4e-06,-5e-06,0.0027,0.0,-0.0
4.5358,4e-06,-5e-06,0.0027,0.0,-0.0
4.587,4e-06,-5e-06,0.0027,0.0,-0.0
