time,x,y,yaw_deg,vel_lin,vel_ang
0.9943,-0.220907,0.015394,-79.127,0.000172,0.001979
1.0441,-0.220897,0.015406,-79.134,-0.000213,-0.002455
1.0941,-0.220904,0.015398,-79.1294,0.000167,0.001926
1.1435,-0.220904,0.015398,-79.1292,7e-06,8e-05
1.2013,-0.220897,0.015406,-79.1337,-0.000137,-0.00158
1.2486,-0.220907,0.015394,-79.127,0.00021,0.002432
1.2991,-0.2209,0.015403,-79.1321,-0.000154,-0.001771
1.344,-0.220901,0.015401,-79.1311,2.4e-05,0.000275
1.3951,-0.2209,0.015403,-79.132,-2.7e-05,-0.000302
1.4437,-0.220898,0.015405,-79.1332,-3.7e-05,-0.000426
1.4939,-0.220905,0.015395,-79.128,0.000187,0.002166
1.5434,-0.220902,0.0154,-79.1304,-7.4e-05,-0.000859
1.6025,-0.2209,0.015403,-79.1319,-4.4e-05,-0.000504
1.6494,-0.220906,0.015394,-79.1274,0.000147,0.001696
1.6949,-0.220902,0.015399,-79.1301,-8.5e-05,-0.000981
1.745,-0.220909,0.015392,-79.1258,0.000149,0.001736
1.7949,-0.220904,0.015398,-79.1291,-7.3e-05,-0.000844
1.8515,-0.220913,0.015386,-79.123,0.000184,0.00212
1.8941,-0.220914,0.015385,-79.1224,2.3e-05,0.000263
1.9432,-0.220907,0.015393,-79.1266,-0.000128,-0.001479
2.001,-0.220914,0.015385,-79.1223,0.000127,0.001473
2.0492,-0.220912,0.015388,-79.1238,-4.9e-05,-0.000561
2.099,-0.220915,0.015383,-79.1211,8.1e-05,0.000938
2.145,-0.220919,0.015378,-79.1186,9.1e-05,0.001053
2.1944,-0.220912,0.015387,-79.1232,-0.0001,-0.001152
2.2436,-0.220918,0.01538,-79.1192,0.000119,0.00137
2.2941,-0.220912,0.015388,-79.1238,-0.00017,-0.001967
2.3436,-0.220912,0.015387,-79.1231,1.8e-05,0.000206
2.4008,-0.220917,0.01538,-79.1197,0.000106,0.00122
2.4514,-0.22091,0.01539,-79.1252,-0.000164,-0.0019
2.4974,-0.22092,0.015378,-79.1182,0.00021,0.002419
