time,x,y,yaw_deg,vel_lin,vel_ang
0.6036,-0.266916,0.062219,-84.4431,0.0,0.0
0.6453,-0.266916,0.062219,-84.4431,0.0,0.0
0.6909,-0.266916,0.062219,-84.4431,0.0,0.0
0.7473,-0.266916,0.062219,-84.443,2e-06,1.7e-05
0.7972,-0.266916,0.062219,-84.443,0.0,0.0
0.8495,-0.266916,0.062219,-84.443,0.0,0.0
0.8933,-0.266916,0.062219,-84.443,0.0,0.0
0.9436,-0.266916,0.062219,-84.443,0.0,0.0
0.9993,-0.266916,0.062219,-84.443,0.0,0.0
1.0437,-0.266916,0.062219,-84.443,0.0,0.0
1.0922,-0.266916,0.062219,-84.443,0.0,0.0
1.1447,-0.266916,0.062219,-84.443,0.0,0.0
1.1907,-0.266916,0.062219,-84.443,0.0,0.0
1.259,-0.266916,0.062219,-84.443,0.0,0.0
1.3013,-0.266916,0.062219,-84.443,0.0,0.0
1.3504,-0.266916,0.062219,-84.443,0.0,0.0
1.3875,-0.266916,0.062219,-84.443,0.0,0.0
1.4373,-0.266916,0.062219,-84.443,0.0,0.0
1.4866,-0.266916,0.062219,-84.443,0.0,0.0
1.5378,-0.266916,0.062219,-84.443,0.0,0.0
1.5924,-0.266916,0.062219,-84.443,0.0,0.0
1.6433,-0.266916,0.062219,-84.443,0.0,0.0
1.6934,-0.266916,0.062219,-84.443,0.0,0.0
1.7388,-0.266916,0.062219,-84.443,0.0,6e-06
1.788,-0.266916,0.062219,-84.443,0.0,0.0
1.8378,-0.266916,0.062219,-84.443,0.0,0.0
1.8873,-0.266916,0.062219,-84.443,0.0,6e-06
1.9435,-0.266916,0.062219,-84.443,0.0,0.0
1.9923,-0.266916,0.062219,-84.443,0.0,0.0
2.0427,-0.266916,0.062219,-84.443,0.0,0.0
2.0918,-0.266916,0.062219,-84.443,0.0,-2e-06
2.1385,-0.266916,0.062219,-84.443,0.0,1e-06
2.1872,-0.266916,0.062219,-84.443,0.0,0.0
2.2402,-0.266916,0.062219,-84.443,0.0,0.0
2.2877,-0.266916,0.062219,-84.443,0.0,0.0
2.3432,-0.266916,0.062219,-84.443,0.0,0.0
2.3936,-0.266916,0.062219,-84.443,0.0,0.0
2.4427,-0.266916,0.062219,-84.443,0.0,0.0
2.4924,-0.266916,0.062219,-84.443,0.0,1e-06
2.5395,-0.266916,0.062219,-84.443,0.0,0.0
2.5877,-0.266916,0.062219,-84.443,0.0,0.0
2.638,-0.266916,0.062219,-84.443,0.0,0.0
2.6874,-0.266916,0.062219,-84.443,0.0,1e-06
2.7778,-0.266916,0.062219,-84.443,0.0,0.0
2.7925,-0.266916,0.062219,-84.443,0.0,1e-06
2.8431,-0.266916,0.062219,-84.443,0.0,0.0
2.8913,-0.266916,0.062219,-84.443,0.0,1e-06
2.9401,-0.266916,0.062219,-84.443,0.0,-1e-06
2.9878,-0.266916,0.062219,-84.443,0.0,0.0
3.0381,-0.266916,0.062219,-84.443,-0.0,-1.3e-05
3.091,-0.266916,0.062219,-84.443,0.0,-5e-06
3.1448,-0.266916,0.062219,-84.443,0.0,0.0
3.1882,-0.266916,0.062219,-84.443,-0.0,-5e-06
3.243,-0.266916,0.062219,-84.443,0.0,0.0
3.3051,-0.266916,0.062219,-84.443,0.0,7e-06
3.3531,-0.266916,0.062219,-84.443,0.0,-2e-06
3.3892,-0.266916,0.062219,-84.443,0.0,0.0
3.4485,-0.266916,0.062219,-84.443,0.0,0.0
3.5021,-0.266916,0.062219,-84.443,0.0,1e-06
3.5504,-0.266916,0.062219,-84.443,0.0,1e-06
3.5902,-0.266916,0.062219,-84.443,0.0,-6e-06
3.6508,-0.266916,0.062219,-84.443,0.0,1e-06
3.6997,-0.266913,0.062222,-84.4448,-5.7e-05,-0.000661
3.7414,-0.266563,0.058253,-84.1789,0.063953,0.074316
3.7857,-0.265848,0.051917,-84.2119,0.12802,-0.011546
3.8482,-0.265451,0.043992,-84.1725,0.165101,0.014598
3.8864,-0.2644,0.033372,-84.2408,0.213423,-0.02387
3.9444,-0.263445,0.024259,-84.2455,0.218151,-0.001972
3.9865,-0.262482,0.013683,-84.1217,0.212448,0.043244
4.0436,-0.261576,0.003563,-84.0532,0.199315,0.023402
4.0927,-0.26041,-0.008857,-84.1347,0.212622,-0.024246
4.1403,-0.259662,-0.016436,-84.252,0.19838,-0.053313
4.1861,-0.258662,-0.028533,-84.308,0.19264,-0.015486
4.2394,-0.257617,-0.038396,-84.4408,0.206881,-0.04838
4.2866,-0.256561,-0.048499,-84.5055,0.203092,-0.022597
4.3444,-0.255809,-0.056543,-84.4841,0.197187,0.00905
4.3871,-0.254923,-0.066384,-84.5029,0.197116,-0.006528
4.4416,-0.253879,-0.076096,-84.643,0.191628,-0.048011
4.4916,-0.252863,-0.086014,-84.6738,0.208876,-0.011192
4.5406,-0.251811,-0.098094,-84.6203,0.196076,0.015079
4.5862,-0.250729,-0.108242,-84.619,0.198675,0.000413
4.6369,-0.249912,-0.117734,-84.5677,0.202403,0.019022
4.6859,-0.248912,-0.127526,-84.5159,0.197242,0.018138
4.7379,-0.248268,-0.135839,-84.4902,0.19845,0.010652
4.786,-0.247296,-0.145466,-84.4641,0.189833,0.008893
4.8434,-0.246387,-0.155438,-84.4806,0.196338,-0.005711
4.8914,-0.24561,-0.164839,-84.5547,0.205882,-0.028258
4.9432,-0.244448,-0.174968,-84.5533,0.198094,0.000569
4.9873,-0.24348,-0.186932,-84.4036,0.196953,0.042916
5.0379,-0.242462,-0.196931,-84.306,0.205307,0.034721
5.0884,-0.241517,-0.20694,-84.2546,0.201362,0.017965
5.1377,-0.240698,-0.21474,-84.2509,0.196564,0.001669
5.186,-0.239784,-0.224759,-84.297,0.19721,-0.015814
5.2438,-0.238942,-0.23485,-84.3937,0.206282,-0.034502
5.2908,-0.238044,-0.244784,-84.4106,0.19865,-0.005799
5.3423,-0.237174,-0.254539,-84.4075,0.195232,0.00106
5.3859,-0.236011,-0.266315,-84.4235,0.198737,-0.004692
5.4377,-0.235008,-0.276093,-84.4621,0.196284,-0.013597
5.4863,-0.234036,-0.28578,-84.5507,0.195017,-0.030918
5.5382,-0.233303,-0.293628,-84.5754,0.197037,-0.010898
5.5862,-0.232271,-0.303486,-84.5775,0.194319,-0.000819
5.6435,-0.231353,-0.313557,-84.4996,0.206334,0.027721
5.6931,-0.230169,-0.325671,-84.4278,0.203725,0.021037
5.7405,-0.229322,-0.333799,-84.4439,0.203163,-0.006955
5.7878,-0.228221,-0.346052,-84.453,0.204986,-0.002641
5.8375,-0.227215,-0.355817,-84.4868,0.196483,-0.011788
5.8861,-0.226378,-0.364857,-84.4291,0.181421,0.020108
5.938,-0.225661,-0.372546,-84.3998,0.193055,0.012833
5.9865,-0.224824,-0.382301,-84.3998,0.19216,0.0
6.044,-0.223871,-0.392225,-84.4594,0.203128,-0.021521
6.091,-0.222956,-0.401925,-84.4292,0.194084,0.01067
6.1412,-0.221782,-0.414064,-84.4292,0.201725,0.0
6.1858,-0.220778,-0.424075,-84.4187,0.204094,0.003805
6.2379,-0.219933,-0.434162,-84.3634,0.202254,0.019154
6.2857,-0.218871,-0.44407,-84.3634,0.199513,0.0
6.3359,-0.21821,-0.452231,-84.3455,0.204526,0.007733
6.386,-0.217247,-0.462292,-84.3455,0.198202,0.0
