detection,pixels,snapshot,time
1,7427,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_1.png,1775528411.74
2,6712,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_2.png,1775528411.93
3,6909,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_3.png,1775528412.13
4,6133,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_4.png,1775528412.33
5,5535,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_5.png,1775528412.54
6,5457,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_6.png,1775528412.73
7,5627,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_7.png,1775528412.93
8,6200,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_8.png,1775528413.13
9,6571,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_9.png,1775528413.34
10,6521,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_10.png,1775528413.54
11,6705,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_11.png,1775528413.73
12,6868,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_12.png,1775528413.93
13,6957,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_13.png,1775528414.13
14,6919,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_14.png,1775528414.34
15,7051,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_15.png,1775528414.53
16,6930,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_16.png,1775528414.73
17,6955,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_17.png,1775528414.93
18,6889,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_18.png,1775528415.13
19,6889,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_19.png,1775528415.33
20,6905,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_20.png,1775528415.53
21,6885,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_21.png,1775528415.73
22,6937,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_22.png,1775528415.93
23,6950,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_23.png,1775528416.13
24,7002,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_24.png,1775528416.33
25,6902,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_25.png,1775528416.53
26,6561,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_26.png,1775528416.73
27,5913,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_27.png,1775528416.93
28,5811,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_28.png,1775528417.13
29,6231,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_29.png,1775528417.33
30,5855,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_30.png,1775528417.53
31,4852,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_31.png,1775528417.73
32,5712,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_32.png,1775528417.93
33,6016,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_33.png,1775528418.12
34,5624,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_34.png,1775528418.33
35,3411,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_35.png,1775528418.53
36,3927,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_36.png,1775528418.73
37,4555,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_37.png,1775528418.93
38,5273,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_38.png,1775528419.13
39,4735,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_39.png,1775528419.33
40,4463,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_40.png,1775528419.53
41,4639,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_41.png,1775528419.73
42,4596,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_42.png,1775528419.93
43,5506,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_43.png,1775528420.13
44,5400,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_44.png,1775528420.33
45,6754,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_45.png,1775528420.53
