detection,pixels,snapshot,time
47,508,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_47.png,1775528421
397,508,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_397.png,1775528574
396,517,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_396.png,1775528571
237,529,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_237.png,1775528536
394,529,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_394.png,1775528571
233,541,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_233.png,1775528474
395,548,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_395.png,1775528571
399,584,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_399.png,1775528575
236,588,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_236.png,1775528536
391,589,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_391.png,1775528568
392,591,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_392.png,1775528568
235,593,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_235.png,1775528536
393,597,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_393.png,1775528568
388,618,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_388.png,1775528567
231,624,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_231.png,1775528473
398,627,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_398.png,1775528574
390,641,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_390.png,1775528568
232,649,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_232.png,1775528473
238,675,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_238.png,1775528536
234,686,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_234.png,1775528475
239,699,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_239.png,1775528537
