detection,pixels,snapshot,time
1,623,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_1.png,1776409007.15
2,738,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_2.png,1776409007.25
3,817,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_3.png,1776409007.39
4,937,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_4.png,1776409007.59
5,1016,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_5.png,1776409007.79
6,1106,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_6.png,1776409007.99
7,814,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_7.png,1776409008.18
8,981,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_8.png,1776409008.39
9,1001,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_9.png,1776409008.59
10,1058,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_10.png,1776409008.79
11,952,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_11.png,1776409008.99
12,1000,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_12.png,1776409009.19
13,840,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_13.png,1776409009.39
14,1157,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_14.png,1776409009.59
15,1031,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_15.png,1776409009.79
16,969,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_16.png,1776409009.99
17,1721,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_17.png,1776409010.19
18,1739,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_18.png,1776409010.39
19,3178,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_19.png,1776409010.59
20,3544,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_20.png,1776409010.79
21,3588,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_21.png,1776409010.99
22,3261,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_22.png,1776409011.19
23,3394,/afs/ec.auckland.ac.nz/users/a/h/ahus071/unixhome/detection_23.png,1776409011.38
