time,x,y,yaw_deg,vel_lin,vel_ang
0.5913,-0.308068,0.059201,-83.8424,0.0,0.0
0.6378,-0.308068,0.059201,-83.8424,0.0,2e-06
0.6919,-0.308068,0.059201,-83.8424,0.0,1e-06
0.7417,-0.308068,0.059201,-83.8424,0.0,0.0
0.7965,-0.308068,0.059201,-83.8424,0.0,-1e-06
0.8472,-0.308068,0.059201,-83.8424,0.0,0.0
0.8874,-0.308068,0.059201,-83.8424,0.0,0.0
0.9386,-0.308068,0.059201,-83.8424,0.0,0.0
1.0022,-0.308068,0.059201,-83.8424,0.0,0.0
1.0318,-0.308068,0.059201,-83.8424,0.0,0.0
1.0894,-0.308068,0.059201,-83.8424,0.0,0.0
1.1365,-0.308068,0.059201,-83.8424,0.0,0.0
1.1976,-0.308068,0.059201,-83.8424,0.0,0.0
1.2401,-0.308068,0.059201,-83.8424,0.0,0.0
1.2943,-0.308068,0.059201,-83.8424,0.0,0.0
1.3319,-0.308068,0.059201,-83.8424,0.0,0.0
1.3813,-0.308068,0.059201,-83.8424,0.0,0.0
1.4298,-0.308068,0.059201,-83.8424,0.0,0.0
1.491,-0.308068,0.059201,-83.8424,0.0,0.0
1.5295,-0.308068,0.059201,-83.8424,0.0,0.0
1.5856,-0.308068,0.059201,-83.8424,0.0,0.0
1.6351,-0.308068,0.059201,-83.8424,0.0,0.0
1.6829,-0.308068,0.059201,-83.8424,0.0,0.0
1.7298,-0.308068,0.059201,-83.8424,0.0,-5e-06
1.7816,-0.308068,0.059201,-83.8424,0.0,3e-06
1.8294,-0.308068,0.059201,-83.8424,0.0,0.0
1.8886,-0.308068,0.059201,-83.8424,0.0,0.0
1.9308,-0.308068,0.059201,-83.8424,0.0,0.0
1.9863,-0.308068,0.059201,-83.8424,-0.0,-5e-06
2.034,-0.308068,0.059201,-83.8424,0.0,7e-06
2.0827,-0.308068,0.059201,-83.8424,0.0,0.0
2.1323,-0.308068,0.059201,-83.8424,0.0,2e-06
2.1812,-0.308068,0.059201,-83.8424,-0.0,0.0
2.2299,-0.308068,0.059201,-83.8424,0.0,0.0
2.2812,-0.308068,0.059201,-83.8424,0.0,0.0
2.3296,-0.308068,0.059201,-83.8424,0.0,0.0
2.3875,-0.308068,0.059201,-83.8424,-0.0,-2e-06
2.4349,-0.308068,0.059201,-83.8424,-0.0,-3e-06
2.483,-0.308068,0.059201,-83.8424,0.0,0.0
2.5335,-0.308068,0.059201,-83.8424,0.0,1e-06
2.589,-0.308068,0.059201,-83.8424,0.0,0.0
2.6302,-0.308068,0.059201,-83.8424,0.0,0.0
2.6851,-0.308068,0.059201,-83.8424,0.0,0.0
2.7349,-0.308068,0.059201,-83.8424,0.0,0.0
2.7915,-0.308068,0.059201,-83.8424,0.0,0.0
2.8437,-0.308068,0.059201,-83.8424,0.0,1e-06
2.8898,-0.308068,0.059201,-83.8424,0.0,0.0
2.9419,-0.308068,0.059201,-83.8424,0.0,-2e-06
2.9904,-0.308068,0.059201,-83.8424,0.0,1e-06
3.0331,-0.308068,0.059201,-83.8424,0.0,0.0
3.0807,-0.308068,0.059201,-83.8424,0.0,7e-06
3.1306,-0.308044,0.059164,-83.8424,0.000787,0.0
3.1861,-0.307583,0.055938,-83.5748,0.063919,0.091484
3.2359,-0.307343,0.050696,-83.6378,0.114308,-0.023864
3.2816,-0.306442,0.043509,-83.7027,0.17042,-0.026531
3.3301,-0.30537,0.033594,-83.6045,0.196519,0.033745
3.3809,-0.303849,0.018758,-83.5776,0.222683,0.007063
3.4299,-0.302774,0.009433,-83.6257,0.218329,-0.019559
3.4804,-0.301611,-0.000626,-83.5979,0.202603,0.009683
3.5293,-0.300617,-0.010155,-83.5909,0.191617,0.00247
3.5869,-0.299586,-0.019268,-83.5907,0.194652,7e-05
3.6357,-0.298414,-0.02911,-83.6206,0.201935,-0.010672
3.6834,-0.29754,-0.037365,-83.6442,0.189777,-0.009374
3.7296,-0.295917,-0.050943,-83.732,0.203158,-0.022779
3.7802,-0.294794,-0.060814,-83.7459,0.195547,-0.004786
3.8304,-0.293847,-0.06945,-83.73,0.207091,0.006599
3.8823,-0.292797,-0.079216,-83.6865,0.196631,0.015167
3.9293,-0.291722,-0.089318,-83.6979,0.20322,-0.003953
3.986,-0.290503,-0.098754,-83.7472,0.201003,-0.018258
4.0359,-0.289375,-0.108615,-83.6936,0.196273,0.018462
4.082,-0.288435,-0.116568,-83.6517,0.190336,0.017379
4.1325,-0.287025,-0.129737,-83.5886,0.194775,0.016185
4.1806,-0.285962,-0.139426,-83.6303,0.197999,-0.014776
4.2295,-0.285089,-0.147754,-83.666,0.195411,-0.014469
4.2802,-0.283803,-0.157975,-83.7544,0.206202,-0.030956
4.3293,-0.282777,-0.167829,-83.7752,0.194196,-0.007141
4.3865,-0.281525,-0.177439,-83.7313,0.206111,0.016236
4.4361,-0.280486,-0.187507,-83.6481,0.200615,0.028756
4.4851,-0.27957,-0.195703,-83.5935,0.193683,0.022414
4.5308,-0.278138,-0.209005,-83.648,0.1973,-0.013977
4.5807,-0.277167,-0.219065,-83.6506,0.205114,-0.001001
4.6302,-0.276211,-0.2272,-83.6464,0.194885,0.001889
4.6808,-0.275405,-0.237024,-83.5996,0.193747,0.015984
4.7294,-0.274369,-0.247056,-83.6085,0.201209,-0.003054
4.7861,-0.273461,-0.256325,-83.6156,0.194565,-0.002659
4.8362,-0.272347,-0.266638,-83.5968,0.205,0.006438
4.8837,-0.27148,-0.274721,-83.6162,0.203758,-0.0085
4.9308,-0.270043,-0.288715,-83.7243,0.199316,-0.026729
4.9802,-0.268983,-0.298779,-83.7161,0.202552,0.002792
5.0293,-0.268206,-0.306401,-83.7222,0.191691,-0.002467
5.0803,-0.2672,-0.316281,-83.8082,0.198666,-0.030225
5.1308,-0.266103,-0.326056,-83.9161,0.196387,-0.037494
5.229,-0.265018,-0.335741,-83.9648,0.195186,-0.017039
5.2335,-0.263986,-0.345471,-83.886,0.197402,0.027683
5.2851,-0.263196,-0.353104,-83.8427,0.193742,0.018932
5.3303,-0.26172,-0.366951,-83.8295,0.198227,0.003383
5.3805,-0.260668,-0.376711,-83.8372,0.193679,-0.002751
5.4298,-0.259825,-0.384428,-83.8207,0.194515,0.007378
5.4807,-0.258834,-0.394222,-83.7435,0.193179,0.026232
5.5295,-0.25771,-0.403873,-83.7306,0.198308,0.004762
5.5863,-0.256692,-0.413735,-83.7203,0.201738,0.003503
5.6399,-0.255644,-0.42349,-83.7857,0.192851,-0.022375
5.6827,-0.254738,-0.431496,-83.8256,0.200854,-0.017482
5.731,-0.253721,-0.441751,-83.8876,0.206357,-0.021675
5.7802,-0.252351,-0.455467,-83.8842,0.199399,0.000895
5.8291,-0.251411,-0.463326,-83.8649,0.19385,0.00835
5.8809,-0.250484,-0.473038,-83.8148,0.19515,0.017438
5.9295,-0.249505,-0.482725,-83.716,0.194622,0.034465
5.9867,-0.248532,-0.492498,-83.6615,0.196112,0.018877
6.0355,-0.24743,-0.502342,-83.6758,0.198626,-0.005006
6.0855,-0.246728,-0.510303,-83.6972,0.203809,-0.009588
6.13,-0.245266,-0.524099,-83.8276,0.197925,-0.03246
6.1808,-0.244207,-0.533969,-83.8686,0.195565,-0.014037
6.2301,-0.243325,-0.541797,-83.8686,0.196583,3e-06
6.2805,-0.242262,-0.551751,-83.8392,0.199755,0.010145
6.3297,-0.241212,-0.561322,-83.8392,0.193342,0.0
6.385,-0.24012,-0.570955,-83.9084,0.193548,-0.024177
6.4331,-0.239035,-0.580421,-83.9084,0.190495,0.0
6.4859,-0.238249,-0.588165,-83.8451,0.19801,0.02798
6.5313,-0.236691,-0.601988,-83.7805,0.19717,0.016008
6.5801,-0.235812,-0.612125,-83.7253,0.203324,0.019284
6.6308,-0.234807,-0.619994,-83.7073,0.202254,0.00809
6.681,-0.233756,-0.630082,-83.6632,0.199778,0.015078
6.7312,-0.232682,-0.640071,-83.6508,0.20425,0.00445
6.7861,-0.231688,-0.649942,-83.731,0.198077,-0.027917
6.8352,-0.230601,-0.65915,-83.8238,0.18404,-0.03211
6.884,-0.229751,-0.667072,-83.8238,0.198511,0.0
6.9317,-0.228179,-0.680713,-83.8268,0.195425,-0.000657
6.9801,-0.227134,-0.690833,-83.7884,0.199304,0.013166
7.029,-0.226372,-0.698548,-83.7736,0.199088,0.006714
7.0804,-0.225469,-0.70883,-83.7736,0.206244,-1e-06
7.1305,-0.224601,-0.718836,-83.7736,0.20064,0.0
7.1854,-0.223495,-0.728777,-83.8239,0.202645,-0.01772
7.2382,-0.222679,-0.738378,-83.8239,0.191161,0.0
7.2832,-0.221833,-0.74619,-83.8239,0.195133,0.0
7.3309,-0.220717,-0.755976,-83.8898,0.200909,-0.023528
7.3809,-0.219204,-0.769949,-83.8898,0.197824,0.0
7.4306,-0.218261,-0.777773,-83.9139,0.19657,-0.010494
