time,x,y,yaw_deg,vel_lin,vel_ang
0.5822,6e-05,-7e-05,0.0395,6e-06,6.7e-05
0.6277,6e-05,-7.1e-05,0.04,1.7e-05,0.000194
0.6888,6.1e-05,-7.1e-05,0.0404,1e-05,0.000114
0.7303,6.1e-05,-7.1e-05,0.0405,5e-06,5.4e-05
0.7757,6.2e-05,-7.2e-05,0.0409,1.7e-05,0.000195
0.8263,6.2e-05,-7.3e-05,0.0414,1.2e-05,0.000137
0.8736,6.3e-05,-7.3e-05,0.0416,7e-06,7.9e-05
0.9263,6.3e-05,-7.4e-05,0.0419,1e-05,0.000115
0.9745,6.4e-05,-7.4e-05,0.0421,6e-06,7e-05
1.0237,6.4e-05,-7.5e-05,0.0426,1.6e-05,0.000189
1.0778,6.5e-05,-7.6e-05,0.043,1e-05,0.000114
1.1277,6.5e-05,-7.6e-05,0.0432,7e-06,8e-05
1.1788,6.6e-05,-7.7e-05,0.0437,1.1e-05,0.000133
1.2283,6.6e-05,-7.7e-05,0.0437,0.0,-0.0
1.2739,6.7e-05,-7.8e-05,0.0442,1.4e-05,0.000163
1.3243,6.7e-05,-7.9e-05,0.0445,1e-05,0.000115
1.374,6.8e-05,-7.9e-05,0.0449,1.2e-05,0.000136
1.4253,6.8e-05,-8e-05,0.0453,1e-05,0.000115
1.479,6.9e-05,-8e-05,0.0456,1e-05,0.000114
1.5286,6.9e-05,-8.1e-05,0.046,1e-05,0.000115
1.5776,7e-05,-8.2e-05,0.0463,1e-05,0.000113
1.626,7e-05,-8.2e-05,0.0466,1e-05,0.000114
1.6743,7.1e-05,-8.3e-05,0.0468,7e-06,8.3e-05
1.7259,7.1e-05,-8.3e-05,0.0468,0.0,0.0
1.7747,7.1e-05,-8.3e-05,0.0468,0.0,0.0
1.8249,7.1e-05,-8.3e-05,0.0468,0.0,0.0
1.8831,7.3e-05,-8.5e-05,0.0482,4.1e-05,0.000476
1.9285,7.3e-05,-8.5e-05,0.0482,0.0,0.0
1.9766,7.4e-05,-8.6e-05,0.0487,1.5e-05,0.000178
2.0267,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.0775,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.1255,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.1764,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.2307,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.279,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.3288,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.3778,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.4267,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.4738,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.5813,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.5897,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.6236,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.6815,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.7283,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.7768,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.824,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.8739,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.9239,7.4e-05,-8.6e-05,0.0487,0.0,0.0
2.973,7.4e-05,-8.6e-05,0.0487,0.0,0.0
3.0234,7.4e-05,-8.6e-05,0.0487,0.0,0.0
3.0786,7.4e-05,-8.6e-05,0.0487,0.0,0.0
3.1296,8.5e-05,-9.9e-05,0.0563,0.000193,0.002224
3.1749,8.5e-05,-0.0001,0.0566,1.3e-05,0.000148
3.2296,8.6e-05,-0.0001,0.0568,7e-06,8.2e-05
3.2734,8.6e-05,-0.000101,0.0573,1.1e-05,0.000129
3.3244,8.6e-05,-0.000101,0.0573,0.0,-0.0
3.3736,8.6e-05,-0.000101,0.0573,0.0,-0.0
3.4233,8.6e-05,-0.000101,0.0573,0.0,-0.0
3.4806,8.6e-05,-0.000101,0.0573,0.0,-0.0
3.5284,8.6e-05,-0.000101,0.0573,0.0,-0.0
3.5846,8.9e-05,-0.000104,0.0591,8.8e-05,0.001018
3.6288,9e-05,-0.000105,0.0596,1.2e-05,0.000136
3.6891,9e-05,-0.000105,0.0596,0.0,0.0
3.7342,9.1e-05,-0.000106,0.0601,1.6e-05,0.000184
3.779,9.1e-05,-0.000106,0.0601,0.0,0.0
3.8298,9.9e-05,-0.000115,0.0654,0.000158,0.00183
