mode,target_m,displacement_m,error_m,error_pct,heading_error_deg,samples
linear,1.0,0.0,-1.0,100.0,0.0,588
linear,1.0,0.8926,-0.1074,10.74,88.97,588
linear,1.0,0.0,-1.0,100.0,0.0,588
square,0.0817,-0.0791,-0.0203,4.17,1188


linear,5.0,5.0132,0.0132,0.26,0.51,989
linear,5.0,4.9719,-0.0281,0.56,0.57,988
linear,5.0,4.9926,-0.0074,0.15,0.68,981
linear,5.0,4.9635,-0.0365,0.73,0.08,988
linear,5.0,4.0332,-0.9668,19.34,0.15,987
linear,5.0,4.9914,-0.0086,0.17,0.72,988
linear,5.0,4.9926,-0.0074,0.15,0.33,989
linear,5.0,5.0118,0.0118,0.24,0.51,988
linear,1.0,0.5558,-0.4442,44.42,0.37,435
linear,1.0,1.0178,0.0178,1.78,0.02,389
linear,1.0,0.9471,-0.0529,5.29,0.1,389
linear,1.0,0.9769,-0.0231,2.31,0.4,390
linear,1.0,1.006,0.006,0.6,0.25,371
linear,1.0,0.9888,-0.0112,1.12,0.2,389
